CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
330151075002,-3.3294477,11.472995,#a6cee3,,,
250173821001,5.564421,3.2370887,#fdb462,,,
250173354003,-2.7051942,-1.6132963,#fdb462,Melrose,Middlesex,
250214177012,12.540503,5.221947,#7fc97f,Quincy,Norfolk,
250250101033,9.892576,-0.8353428,#662506,Boston,Suffolk,Fenway
250173824003,5.447615,3.4934418,#fdb462,,,
250173684001,5.214475,0.6689202,#fdb462,Waltham,Middlesex,
330159800111,-5.1532536,11.150479,#a6cee3,,,
250173163001,-1.1192877,0.89104146,#fdb462,,,
250092082004,-2.2518768,-3.9340987,#386cb0,Revere,Suffolk,
330170812002,-3.4513705,12.278393,#fb9a99,,,
250214202021,14.528532,7.7620234,#7fc97f,Randolph,Norfolk,
250214177011,12.56041,4.847862,#7fc97f,Quincy,Norfolk,
250214227001,12.23772,7.4678,#7fc97f,Weymouth,Norfolk,
250214035002,6.6083183,2.4141421,#7fc97f,,,
250173825002,5.529179,3.5101235,#fdb462,,,
250250503001,-2.388402,-6.990944,#662506,Boston,Suffolk,East Boston
250214172002,12.542633,4.459698,#7fc97f,Quincy,Norfolk,
250214044001,6.0701113,2.8320968,#7fc97f,,,
250214223012,12.554957,7.3475084,#7fc97f,Weymouth,Norfolk,
250173251002,0.52408946,3.3611243,#fdb462,,,
250173681014,4.819304,0.34745649,#fdb462,Waltham,Middlesex,
250250511011,-2.488949,-6.379645,#662506,Boston,Suffolk,East Boston
250173501042,2.5282226,-3.773713,#fdb462,Somerville,Middlesex,
250214431011,8.035051,5.6076956,#7fc97f,,,
250092108002,-5.82956,-1.6796477,#386cb0,Salem,Essex,
250173424001,-1.1215061,-5.1262307,#fdb462,Everett,Middlesex,
250173213003,3.2122283,4.6038423,#fdb462,Marlborough,Middlesex,
250092105001,-5.464347,-1.5536983,#386cb0,Peabody,Essex,
250092604011,-5.19535,9.817154,#386cb0,Haverhill,Essex,
250214422024,8.228903,5.6172066,#7fc97f,Franklin,Norfolk,
250092112001,-6.1613364,-0.9192238,#386cb0,,,
250173391003,1.0353575,-3.4398322,#fdb462,Medford,Middlesex,
250214182001,12.4311905,4.466317,#7fc97f,Quincy,Norfolk,
250235251012,14.322895,9.76786,#ef3b2c,Bridgewater,Plymouth,
250173613001,1.4874679,2.97517,#fdb462,,,
250235454001,14.206061,11.944212,#ef3b2c,,,
330151003022,-6.3559914,10.030944,#a6cee3,Methuen,Essex,
250092083001,-2.9804628,-3.4208837,#386cb0,Lynn,Essex,
250173689013,4.866797,0.32982075,#fdb462,Waltham,Middlesex,
250092041013,-6.152684,-2.1262527,#386cb0,Salem,Essex,
250214176023,12.634889,4.777175,#7fc97f,Quincy,Norfolk,
250173105003,-1.4563618,2.8759968,#fdb462,Lowell,Middlesex,
250214224004,12.497444,7.157681,#7fc97f,Weymouth,Norfolk,
250173565003,0.33177412,-0.53338873,#fdb462,,,
250173414001,-0.8095541,-4.052525,#fdb462,Malden,Middlesex,
250173701025,5.7524266,-0.3440734,#fdb462,Watertown,Middlesex,
250235201001,13.283444,8.578371,#ef3b2c,,,
250214007001,8.919115,-0.17747301,#7fc97f,,,
250173372023,-2.3345842,-0.91288304,#fdb462,Woburn,Middlesex,
250250804011,11.719382,0.27851266,#662506,Boston,Suffolk,Roxbury
250250304002,12.220908,-2.2606568,#662506,Boston,Suffolk,Downtown
250173353011,-2.9176292,-1.3412371,#fdb462,,,
250251704004,-2.120222,-5.28283,#662506,Revere,Suffolk,
250173261021,0.5179577,3.343285,#fdb462,,,
250173162011,-1.2476127,0.7515043,#fdb462,,,
250092102002,-5.708503,-1.0427933,#386cb0,Peabody,Essex,
250173530002,4.129972,-3.1744947,#fdb462,Cambridge,Middlesex,
250214431014,8.051849,5.650482,#7fc97f,Franklin,Norfolk,
250092508003,-7.2985096,9.315826,#386cb0,Lawrence,Essex,
250092663002,-3.7763276,9.454687,#386cb0,Amesbury,Essex,
250235091014,12.916971,10.473207,#ef3b2c,,,
250235422001,14.323307,10.975101,#ef3b2c,Bridgewater,Plymouth,
250173683004,5.0471363,0.61829996,#fdb462,Waltham,Middlesex,
250092214001,-7.700629,-0.037793335,#386cb0,Gloucester,Essex,
250250712012,11.722598,-0.25099912,#662506,Boston,Suffolk,South End
250173825003,5.4783673,3.5985358,#fdb462,,,
250173831012,5.444382,4.103567,#fdb462,Framingham,Middlesex,
250092047022,-5.8903522,-2.072275,#386cb0,Salem,Essex,
250092104003,-5.741408,-1.4784324,#386cb0,Peabody,Essex,
250173542001,4.591834,-1.645032,#fdb462,Watertown,Middlesex,
250214022002,9.987202,3.1213858,#7fc97f,Boston,Suffolk,Hyde Park
250173737003,6.80593,1.0927007,#fdb462,Newton,Middlesex,
250214021014,9.671385,3.1776803,#7fc97f,Boston,Suffolk,West Roxbury
250173661005,5.005951,3.5354621,#fdb462,Framingham,Middlesex,
330170802022,-4.009335,12.029906,#fb9a99,,,
250173534002,4.274876,-3.096977,#fdb462,Boston,Suffolk,Fenway
250214180025,12.497935,5.550985,#7fc97f,Quincy,Norfolk,
