taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Sports,12273,0.033978029036223295,107793,0.03993447061347109,120066,-0.14915539096287686,Miami,33100
Health,2700,0.0074750002768518625,24221,0.008973243278588436,26921,-0.1669678348420148,Miami,33100
Neighborhood Service,2833,0.007843213253452342,26298,0.009742717135556694,29131,-0.19496654328308333,Miami,33100
Arts / Museum,865,0.002394768607213652,8567,0.003173848113936961,9432,-0.2454684278375594,Miami,33100
College,4483,0.012411268978195148,48372,0.017920553398781215,52855,-0.3074282527994228,Miami,33100
Agriculture,14,3.875926069478743e-05,723,0.0002678524788579926,737,-0.8552962404528037,Miami,33100
Transportation,35284,0.10872539473197668,216467,0.09288543570339583,251751,0.17053221432002982,Philadelphia,37980
Food,72903,0.22464594298110463,475275,0.20393928614491563,548178,0.10153343785598629,Philadelphia,37980
Shopping,58350,0.1798018020238873,387319,0.16619759164770415,445669,0.08185564087487229,Philadelphia,37980
Grocery,20896,0.0643896907470634,141977,0.06092196734311017,162873,0.05692073902379317,Philadelphia,37980
Coffee / Tea,10933,0.03368934192848603,75114,0.03223122516330376,86047,0.045239259686671106,Philadelphia,37980
City / Outdoors,3491,0.010757293759475416,24259,0.010409474814769362,27750,0.03341368809620977,Philadelphia,37980
Personal Care Service,21654,0.06672541938346624,156583,0.06718936456247294,178237,-0.0069050389451938855,Philadelphia,37980
School,1009,0.0031091691215441694,7352,0.003154724384277355,8361,-0.01444033049613644,Philadelphia,37980
Financial Service,14643,0.045121470214837735,107306,0.04604472997541701,121949,-0.020051366596615907,Philadelphia,37980
Entertainment,8357,0.025751562288151262,61737,0.026491188698603244,70094,-0.027919713942129696,Philadelphia,37980
Service,6236,0.019215836116897363,46212,0.019829450931205812,52448,-0.030944619517568033,Philadelphia,37980
Automotive Service,16465,0.05073584696355277,123597,0.053035156382416786,140062,-0.04335443837073935,Philadelphia,37980
Sports,15913,0.04903489418348104,128252,0.055032604969034185,144165,-0.10898467897218288,Philadelphia,37980
Office,11513,0.035476574922039664,97622,0.041889350359347655,109135,-0.15308844329873866,Philadelphia,37980
Arts / Museum,728,0.0022432855505293905,6238,0.0026767098352995294,6966,-0.16192426950963767,Philadelphia,37980
Public Administration,7700,0.0237270587075224,69350,0.02975790751491221,77050,-0.20266373918823577,Philadelphia,37980
Agriculture,30,9.244308587346391e-05,282,0.00012100547828702585,312,-0.23604214303266294,Philadelphia,37980
Health,1777,0.005475712119904845,19370,0.00831161742702018,21147,-0.3411977671032006,Philadelphia,37980
Neighborhood Service,4089,0.01259999260455313,44752,0.019202968667733977,48841,-0.34385183756903054,Philadelphia,37980
Industry,7290,0.022463669867251727,81826,0.03511132718551127,89116,-0.3602158714034203,Philadelphia,37980
College,5263,0.01621759869840135,59583,0.02556691281126192,64846,-0.3656802126200512,Philadelphia,37980
Food,38326,0.2212217238970949,236590,0.1945084794812011,274916,0.13733717155747754,San Francisco,41860
Service,4425,0.025541567819356178,29624,0.024354872125411476,34049,0.04872518680590907,San Francisco,41860
Financial Service,8245,0.04759101167696988,55391,0.045538776731659035,63636,0.045065658162137416,San Francisco,41860
Coffee / Tea,8508,0.049109075481826525,57662,0.047405841091529725,66170,0.035928787488618705,San Francisco,41860
